PRD000005	2005-08-15
PRD000003	2005-08-15
PRD000004	2005-08-19
PRD000755	2005-08-20
PRD000001	2005-12-09
PRD000008	2005-12-22
PRD000009	2006-01-13
PRD000010	2006-01-24
PRD000013	2006-02-08
PRD000012	2006-02-08
PRD000007	2006-02-24
PRD000014	2006-04-05
PRD000011	2006-04-17
PRD000016	2006-05-08
PRD000015	2006-06-20
PRD000017	2006-07-03
PRD000787	2006-10-28
PRD000018	2006-11-30
PRD000019	2007-02-14
PRD000020	2007-03-27
PRD000021	2007-03-28
PRD000002	2007-04-22
PRD000760	2007-05-03
PRD000759	2007-05-03
PRD000762	2007-05-03
PRD000763	2007-05-03
PRD000761	2007-05-03
PRD000022	2007-05-03
PRD000769	2007-07-04
PRD000770	2007-07-19
PRD000032	2007-08-25
PRD000030	2007-09-10
PRD000033	2007-10-15
PRD000036	2007-10-22
PRD000026	2007-11-09
PRD000023	2007-11-28
PRD000027	2008-02-08
PRD000045	2008-02-29
PRD000046	2008-03-05
PRD000049	2008-03-18
PRD000044	2008-04-23
PRD000059	2008-05-13
PRD000056	2008-05-17
PRD000060	2008-05-19
PRD000057	2008-05-20
PRD000062	2008-05-20
PRD000047	2008-06-18
PRD000793	2008-06-29
PRD000054	2008-06-30
PRD000050	2008-07-16
PRD000774	2008-07-29
PRD000042	2008-08-07
PRD000043	2008-08-20
PRD000055	2008-09-22
PRD000065	2008-10-29
PRD000051	2008-12-01
PRD000052	2008-12-02
PRD000797	2008-12-09
PRD000807	2009-03-12
PRD000809	2009-03-26
PRD000796	2009-04-01
PRD000106	2009-04-29
PRD000072	2009-05-14
PRD000069	2009-05-14
PRD000070	2009-05-14
PRD000073	2009-05-14
PRD000080	2009-05-14
PRD000111	2009-05-19
PRD000093	2009-05-30
PRD000808	2009-05-31
PRD000097	2009-05-31
PRD000066	2009-06-16
PRD000100	2009-07-06
PRD000074	2009-07-08
PRD000075	2009-07-27
PRD000088	2009-07-27
PRD000803	2009-07-27
PRD000833	2009-07-27
PRD000780	2009-07-27
PRD000085	2009-07-27
PRD000087	2009-07-27
PRD000086	2009-07-27
PRD000089	2009-07-27
PRD000096	2009-07-27
PRD000103	2009-08-07
PRD000104	2009-08-07
PRD000068	2009-08-23
PRD000127	2009-12-01
PRD000118	2009-12-01
PRD000112	2009-12-01
PRD000113	2009-12-01
PRD000117	2009-12-01
PRD000154	2009-12-01
PRD000147	2009-12-01
PRD000156	2009-12-01
PRD000133	2009-12-01
PRD000155	2009-12-01
PRD000148	2009-12-01
PRD000141	2009-12-01
PRD000143	2009-12-01
PRD000140	2009-12-01
PRD000142	2009-12-01
PRD000158	2009-12-01
PRD000136	2009-12-01
PRD000812	2009-12-01
PRD000122	2009-12-01
PRD000164	2009-12-01
PRD000161	2009-12-01
PRD000814	2009-12-11
PRD000081	2009-12-18
PRD000283	2010-01-03
PRD000181	2010-01-04
PRD000109	2010-01-06
PRD000006	2010-01-06
PRD000167	2010-01-07
PRD000168	2010-01-07
PRD000186	2010-01-11
PRD000038	2010-01-12
PRD000039	2010-01-12
PRD000189	2010-01-25
PRD000184	2010-01-25
PRD000172	2010-01-26
PRD000067	2010-01-27
PRD000817	2010-02-12
PRD000815	2010-02-19
PRD000180	2010-03-22
PRD000197	2010-04-28
PRD000153	2010-04-28
PRD000108	2010-04-28
PRD000160	2010-04-28
PRD000806	2010-04-28
PRD000813	2010-04-28
PRD000223	2010-04-28
PRD000209	2010-04-28
PRD000754	2010-04-28
PRD000099	2010-04-28
PRD000178	2010-04-28
PRD000174	2010-04-28
PRD000216	2010-04-28
PRD000222	2010-04-28
PRD000139	2010-04-29
PRD000204	2010-05-06
PRD000766	2010-05-16
PRD000159	2010-05-18
PRD000228	2010-05-18
PRD000229	2010-05-18
PRD000247	2010-05-25
PRD000251	2010-06-02
PRD000201	2010-06-03
PRD000176	2010-06-07
PRD000200	2010-06-29
PRD000252	2010-06-30
PRD000123	2010-07-08
PRD000124	2010-07-08
PRD000820	2010-07-12
PRD000270	2010-07-19
PRD000257	2010-07-29
PRD000203	2010-07-29
PRD000281	2010-08-02
PRD000279	2010-08-02
PRD000224	2010-08-08
PRD000218	2010-08-08
PRD000169	2010-08-08
PRD000220	2010-08-10
PRD000294	2010-08-14
PRD000212	2010-09-01
PRD000183	2010-09-13
PRD000821	2010-09-13
PRD000804	2010-10-03
PRD000185	2010-10-18
PRD000227	2010-10-20
PRD000289	2010-10-20
PRD000286	2010-10-20
PRD000105	2010-11-10
PRD000258	2010-11-23
PRD000818	2010-12-03
PRD000346	2010-12-03
PRD000250	2010-12-03
PRD000321	2010-12-10
PRD000196	2010-12-13
PRD000213	2010-12-14
PRD000134	2010-12-17
PRD000256	2010-12-17
PRD000246	2010-12-23
PRD000791	2010-12-31
PRD000337	2011-01-11
PRD000799	2011-01-12
PRD000345	2011-01-23
PRD000377	2011-01-26
PRD000187	2011-01-28
PRD000298	2011-02-01
PRD000163	2011-02-15
PRD000825	2011-02-21
PRD000828	2011-03-01
PRD000391	2011-03-01
PRD000361	2011-03-03
PRD000332	2011-03-03
PRD000276	2011-03-18
PRD000822	2011-03-18
PRD000395	2011-03-18
PRD000360	2011-03-18
PRD000400	2011-03-18
PRD000406	2011-03-18
PRD000374	2011-03-18
PRD000319	2011-03-18
PRD000238	2011-03-28
PRD000239	2011-03-28
PRD000397	2011-03-28
PRD000277	2011-03-30
PRD000404	2011-03-30
PRD000092	2011-04-14
PRD000182	2011-04-14
PRD000190	2011-04-14
PRD000199	2011-04-14
PRD000126	2011-04-14
PRD000146	2011-04-14
PRD000082	2011-04-14
PRD000157	2011-04-14
PRD000024	2011-04-14
PRD000029	2011-04-14
PRD000165	2011-04-14
PRD000170	2011-04-14
PRD000351	2011-05-02
PRD000192	2011-05-04
PRD000193	2011-05-04
PRD000191	2011-05-04
PRD000266	2011-05-04
PRD000232	2011-05-04
PRD000267	2011-05-04
PRD000231	2011-05-04
PRD000234	2011-05-04
PRD000300	2011-05-04
PRD000242	2011-05-04
PRD000221	2011-05-04
PRD000387	2011-05-04
PRD000291	2011-05-04
PRD000255	2011-05-04
PRD000418	2011-05-04
PRD000444	2011-06-22
